created_at,cost_total,cost_web_search,cost_cache,cost_file_processing,byok_usage_inference,tokens_prompt,tokens_completion,tokens_reasoning,tokens_cached,model_permaslug,provider_name,variant,cancelled,streamed,user,finish_reason_raw,finish_reason_normalized,generation_time_ms,time_to_first_token_ms,app_name,api_key_name
2026-04-08 10:09:01.830,0.113631,,,,0,10649,10032,2315,0,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,81120,2311,,critic-api
2026-04-08 10:08:16.635,0.056767,,,,0,7558,4732,3528,0,google/gemini-2.5-pro,Google,standard,false,true,,STOP,stop,44307,2368,,critic-api
2026-04-08 10:06:55.183,0.106358,,,0,0,15367,8715,2900,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,80991,3539,,critic-api
2026-04-08 10:06:12.264,0.049796,,,0,0,1853,4748,3224,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,37810,4104,,critic-api
2026-04-08 10:05:19.826,0.05611,,,0,0,1376,5439,4013,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,44216,3967,,critic-api
2026-04-08 10:04:55.199,0.068563,,,0,0,747,1450,0,0,google/gemini-3.1-flash-image-preview-20260226,Google AI Studio,standard,false,true,,STOP,stop,13699,13647,,critic-api
2026-04-08 10:04:34.247,0.067368,,,0,0,336,1120,0,0,google/gemini-3.1-flash-image-preview-20260226,Google,standard,false,true,,STOP,stop,15642,15611,,critic-api
2026-04-08 10:04:18.986,0.068377,,,0,0,170,1484,0,0,google/gemini-3.1-flash-image-preview-20260226,Google AI Studio,standard,false,true,,STOP,stop,14046,13938,,critic-api
2026-04-08 10:04:01.916,0.06727,,,0,0,140,1120,0,0,google/gemini-3.1-flash-image-preview-20260226,Google,standard,false,true,,STOP,stop,15499,15410,,critic-api
2026-04-08 10:03:40.694,0.067855,,,0,0,1310,1120,0,0,google/gemini-3.1-flash-image-preview-20260226,Google,standard,false,true,,STOP,stop,19193,19125,,critic-api
2026-04-08 10:03:16.576,0.067291,,,0,0,182,1120,0,0,google/gemini-3.1-flash-image-preview-20260226,Google,standard,false,true,,STOP,stop,19013,18958,,critic-api
2026-04-08 10:03:00.515,0.068428,,,0,0,123,1509,0,0,google/gemini-3.1-flash-image-preview-20260226,Google AI Studio,standard,false,true,,STOP,stop,14924,14817,,critic-api
2026-04-08 10:02:48.981,0.067866,,,0,0,192,1310,0,0,google/gemini-3.1-flash-image-preview-20260226,Google AI Studio,standard,false,true,,STOP,stop,10090,10025,,critic-api
2026-04-08 10:02:33.121,0.068557,,,0,0,273,1527,0,0,google/gemini-3.1-flash-image-preview-20260226,Google AI Studio,standard,false,true,,STOP,stop,14340,14221,,critic-api
2026-04-08 10:02:15.186,0.067271,,,0,0,142,1120,0,0,google/gemini-3.1-flash-image-preview-20260226,Google,standard,false,true,,STOP,stop,16696,16641,,critic-api
2026-04-08 10:01:58.597,0.068527,,,0,0,134,1540,0,0,google/gemini-3.1-flash-image-preview-20260226,Google AI Studio,standard,false,true,,STOP,stop,15556,15478,,critic-api
2026-04-08 10:01:18.277,0.042072,,,0,0,5482,3522,2743,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,29110,3943,,critic-api
2026-04-08 10:00:26.036,0.064055,,,0,0,8444,5350,1930,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,51574,3259,,critic-api
2026-04-08 09:56:49.441,0.049618,,,0,0,3935,4470,2908,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,37675,2812,,critic-api
2026-04-08 09:55:37.646,0.071093,,,0,0,3555,6665,4177,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,65808,2587,,critic-api
2026-04-08 09:54:35.676,0.073265,,,0,0,5524,6636,3715,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,61381,3066,,critic-api
2026-04-08 09:53:56.537,0.048898,,,0,0,2975,4518,4148,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,38788,2388,,critic-api
2026-04-08 09:53:42.226,0.020041,,,0,0,4865,1396,1159,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,13775,2365,,critic-api
2026-04-08 09:50:14.281,0.039593,,,0,0,1667,3751,2256,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,36148,3034,,critic-api
2026-04-08 09:49:35.826,0.041343,,,0,0,1667,3926,2667,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,37922,3099,,critic-api
2026-04-08 09:48:39.381,0.039241,,,0,0,1017,3797,2171,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,37907,2177,,critic-api
2026-04-08 09:48:37.016,0.03113,,,0,0,672,3029,2060,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,28888,2624,,critic-api
2026-04-08 09:48:19.945,0.021253,,,0,0,1219,1973,1347,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,18873,3461,,critic-api
2026-04-08 09:48:19.936,0.03621,,,0,0,1432,3442,2626,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,29802,2491,,critic-api
2026-04-08 09:48:19.921,0.014577,,,0,0,950,1339,1062,0,google/gemini-2.5-pro,Google AI Studio,standard,false,true,,STOP,stop,16580,5060,,critic-api
